time(s),filename,numbytes,info
7.0,DSP-1001660006002-A-B10_S22_L001_R1_001.fastq.gz,0,start
7.1,DSP-1001660006002-A-B10_S22_L001_R1_001.fastq.gz,40362,part 3
7.1,DSP-1001660006002-A-B10_S22_L001_R2_001.fastq.gz,0,start
7.2,DSP-1001660006002-A-B10_S22_L001_R2_001.fastq.gz,432679,part 3
7.5,DSP-1001660006002-A-B10_S22_L001_R1_001.fastq.gz,16777216,part 1
7.6,DSP-1001660006002-A-B10_S22_L001_R2_001.fastq.gz,16777216,part 2
7.7,DSP-1001660006002-A-B10_S22_L001_R2_001.fastq.gz,16777216,part 1
7.7,DSP-1001660006002-A-B10_S22_L001_R1_001.fastq.gz,16777216,part 2
