READ MEAN QUALITY,Read1,Q17 Reads,1
READ MEAN QUALITY,Read1,Q18 Reads,2
READ MEAN QUALITY,Read1,Q19 Reads,9
READ MEAN QUALITY,Read1,Q20 Reads,21
READ MEAN QUALITY,Read1,Q21 Reads,49
READ MEAN QUALITY,Read1,Q22 Reads,139
READ MEAN QUALITY,Read1,Q23 Reads,312
READ MEAN QUALITY,Read1,Q24 Reads,622
READ MEAN QUALITY,Read1,Q25 Reads,1172
READ MEAN QUALITY,Read1,Q26 Reads,2091
READ MEAN QUALITY,Read1,Q27 Reads,3547
READ MEAN QUALITY,Read1,Q28 Reads,5623
READ MEAN QUALITY,Read1,Q29 Reads,9208
READ MEAN QUALITY,Read1,Q30 Reads,14230
READ MEAN QUALITY,Read1,Q31 Reads,21630
READ MEAN QUALITY,Read1,Q32 Reads,30856
READ MEAN QUALITY,Read1,Q33 Reads,43645
READ MEAN QUALITY,Read1,Q34 Reads,62207
READ MEAN QUALITY,Read1,Q35 Reads,103522
READ MEAN QUALITY,Read1,Q36 Reads,223004
READ MEAN QUALITY,Read1,Q37 Reads,759041
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 1 A Average Quality,36.06
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 2 A Average Quality,35.88
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 3 A Average Quality,36.03
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 4 A Average Quality,35.97
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 5 A Average Quality,35.90
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 6 A Average Quality,35.88
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 7 A Average Quality,35.88
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 8 A Average Quality,35.92
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 9 A Average Quality,35.84
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 10 A Average Quality,35.84
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 11 A Average Quality,35.81
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 12 A Average Quality,35.86
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 13 A Average Quality,35.85
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 14 A Average Quality,35.84
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 15 A Average Quality,35.81
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 16 A Average Quality,35.83
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 17 A Average Quality,35.90
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 18 A Average Quality,35.88
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 19 A Average Quality,35.95
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 20 A Average Quality,35.91
