time(s),filename,numbytes,info
7.2,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,0,start
7.3,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,0,start
7.6,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 4
7.7,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 1
7.7,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 1
7.9,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 2
7.9,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 2
8.0,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 4
8.1,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 3
8.4,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 3
8.5,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 6
8.5,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 5
8.6,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 5
8.6,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 7
8.6,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 6
8.7,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 7
8.9,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 8
9.0,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 9
9.1,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 9
9.2,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 8
9.2,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 11
9.2,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 10
9.3,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 10
9.3,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 11
9.5,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 13
9.6,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 12
9.7,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 12
9.8,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 15
9.8,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 15
9.8,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 13
9.9,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 14
10.0,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 14
10.1,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 16
10.2,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 16
10.2,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 18
10.3,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 17
10.3,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 17
10.6,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 19
10.6,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 18
10.7,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 19
10.8,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 20
10.8,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 21
11.0,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 21
11.1,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 20
11.1,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 22
11.2,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 22
11.3,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 23
11.4,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 24
11.5,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 23
11.7,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 26
11.7,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 24
11.7,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 25
11.8,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 26
12.0,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 25
12.1,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 28
12.3,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 29
12.3,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 27
12.4,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 30
12.4,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 28
12.4,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 27
12.7,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 31
12.9,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 30
12.9,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 29
12.9,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 31
13.0,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 33
13.0,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 32
13.0,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 32
13.2,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 34
13.4,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 35
13.5,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 33
13.5,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 37
13.6,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 36
13.7,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 34
13.7,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 35
13.9,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 36
14.0,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 39
14.1,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 37
14.1,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 38
14.2,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 38
14.4,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 40
14.4,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 40
14.4,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 41
14.5,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 39
14.5,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 43
14.6,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 42
14.7,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 41
14.7,DSP-1001660006002-A-F04_S64_L001_R2_001.fastq.gz,16777216,part 42
14.9,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,10931643,part 44
15.0,DSP-1001660006002-A-F04_S64_L001_R1_001.fastq.gz,16777216,part 43
