time(s),filename,numbytes,info
7.1,DSP-1001660006002-A-A06_S6_L001_R1_001.fastq.gz,0,start
7.2,DSP-1001660006002-A-A06_S6_L001_R2_001.fastq.gz,0,start
7.6,DSP-1001660006002-A-A06_S6_L001_R1_001.fastq.gz,16777216,part 2
7.6,DSP-1001660006002-A-A06_S6_L001_R1_001.fastq.gz,16777216,part 1
7.6,DSP-1001660006002-A-A06_S6_L001_R1_001.fastq.gz,16777216,part 3
7.6,DSP-1001660006002-A-A06_S6_L001_R2_001.fastq.gz,16777216,part 3
7.8,DSP-1001660006002-A-A06_S6_L001_R2_001.fastq.gz,16777216,part 1
7.9,DSP-1001660006002-A-A06_S6_L001_R1_001.fastq.gz,4152128,part 7
8.0,DSP-1001660006002-A-A06_S6_L001_R1_001.fastq.gz,16777216,part 4
8.1,DSP-1001660006002-A-A06_S6_L001_R2_001.fastq.gz,16777216,part 4
8.2,DSP-1001660006002-A-A06_S6_L001_R1_001.fastq.gz,16777216,part 5
8.3,DSP-1001660006002-A-A06_S6_L001_R1_001.fastq.gz,16777216,part 6
8.3,DSP-1001660006002-A-A06_S6_L001_R2_001.fastq.gz,16777216,part 2
8.4,DSP-1001660006002-A-A06_S6_L001_R2_001.fastq.gz,16777216,part 5
8.6,DSP-1001660006002-A-A06_S6_L001_R2_001.fastq.gz,6587055,part 7
8.7,DSP-1001660006002-A-A06_S6_L001_R2_001.fastq.gz,16777216,part 6
