time(s),filename,numbytes,info
7.1,DSP-1001660006002-A-C07_S31_L001_R1_001.fastq.gz,0,start
7.2,DSP-1001660006002-A-C07_S31_L001_R2_001.fastq.gz,0,start
7.4,DSP-1001660006002-A-C07_S31_L001_R1_001.fastq.gz,4826275,part 2
7.6,DSP-1001660006002-A-C07_S31_L001_R1_001.fastq.gz,16777216,part 1
7.7,DSP-1001660006002-A-C07_S31_L001_R2_001.fastq.gz,5253395,part 2
7.7,DSP-1001660006002-A-C07_S31_L001_R2_001.fastq.gz,16777216,part 1
