time(s),filename,numbytes,info
6.9,DSP-1001660006002-A-B05_S17_L001_R1_001.fastq.gz,0,start
6.9,DSP-1001660006002-A-B05_S17_L001_R2_001.fastq.gz,0,start
7.3,DSP-1001660006002-A-B05_S17_L001_R2_001.fastq.gz,16777216,part 2
7.3,DSP-1001660006002-A-B05_S17_L001_R1_001.fastq.gz,16777216,part 3
7.5,DSP-1001660006002-A-B05_S17_L001_R2_001.fastq.gz,16777216,part 1
7.5,DSP-1001660006002-A-B05_S17_L001_R1_001.fastq.gz,16777216,part 1
7.6,DSP-1001660006002-A-B05_S17_L001_R1_001.fastq.gz,16777216,part 2
7.7,DSP-1001660006002-A-B05_S17_L001_R2_001.fastq.gz,16777216,part 4
7.7,DSP-1001660006002-A-B05_S17_L001_R1_001.fastq.gz,16777216,part 4
7.8,DSP-1001660006002-A-B05_S17_L001_R2_001.fastq.gz,16777216,part 3
8.0,DSP-1001660006002-A-B05_S17_L001_R1_001.fastq.gz,16777216,part 5
8.2,DSP-1001660006002-A-B05_S17_L001_R2_001.fastq.gz,16777216,part 5
8.3,DSP-1001660006002-A-B05_S17_L001_R2_001.fastq.gz,16777216,part 6
8.5,DSP-1001660006002-A-B05_S17_L001_R1_001.fastq.gz,16777216,part 6
8.5,DSP-1001660006002-A-B05_S17_L001_R2_001.fastq.gz,16777216,part 7
8.6,DSP-1001660006002-A-B05_S17_L001_R1_001.fastq.gz,16777216,part 7
8.6,DSP-1001660006002-A-B05_S17_L001_R1_001.fastq.gz,16777216,part 8
8.7,DSP-1001660006002-A-B05_S17_L001_R2_001.fastq.gz,16777216,part 8
8.7,DSP-1001660006002-A-B05_S17_L001_R2_001.fastq.gz,16777216,part 9
8.7,DSP-1001660006002-A-B05_S17_L001_R1_001.fastq.gz,16777216,part 9
8.9,DSP-1001660006002-A-B05_S17_L001_R2_001.fastq.gz,16777216,part 10
9.0,DSP-1001660006002-A-B05_S17_L001_R1_001.fastq.gz,16777216,part 11
9.0,DSP-1001660006002-A-B05_S17_L001_R1_001.fastq.gz,16777216,part 12
9.0,DSP-1001660006002-A-B05_S17_L001_R1_001.fastq.gz,16777216,part 10
9.2,DSP-1001660006002-A-B05_S17_L001_R2_001.fastq.gz,16777216,part 11
9.3,DSP-1001660006002-A-B05_S17_L001_R1_001.fastq.gz,16777216,part 13
9.4,DSP-1001660006002-A-B05_S17_L001_R2_001.fastq.gz,16777216,part 14
9.4,DSP-1001660006002-A-B05_S17_L001_R2_001.fastq.gz,16777216,part 13
9.4,DSP-1001660006002-A-B05_S17_L001_R2_001.fastq.gz,16777216,part 12
9.5,DSP-1001660006002-A-B05_S17_L001_R1_001.fastq.gz,6403514,part 15
11.1,DSP-1001660006002-A-B05_S17_L001_R2_001.fastq.gz,11627184,part 15
11.5,DSP-1001660006002-A-B05_S17_L001_R1_001.fastq.gz,16777216,part 14
