time(s),filename,numbytes,info
6.9,DSP-1001660006002-A-F02_S62_L001_R1_001.fastq.gz,0,start
7.0,DSP-1001660006002-A-F02_S62_L001_R2_001.fastq.gz,0,start
7.2,DSP-1001660006002-A-F02_S62_L001_R1_001.fastq.gz,1892976,part 3
7.2,DSP-1001660006002-A-F02_S62_L001_R2_001.fastq.gz,2141221,part 3
7.5,DSP-1001660006002-A-F02_S62_L001_R1_001.fastq.gz,16777216,part 2
7.5,DSP-1001660006002-A-F02_S62_L001_R2_001.fastq.gz,16777216,part 1
7.5,DSP-1001660006002-A-F02_S62_L001_R1_001.fastq.gz,16777216,part 1
7.8,DSP-1001660006002-A-F02_S62_L001_R2_001.fastq.gz,16777216,part 2
