time(s),filename,numbytes,info
7.7,DSP-1001660006002-A-G07_S79_L001_R1_001.fastq.gz,0,start
7.8,DSP-1001660006002-A-G07_S79_L001_R2_001.fastq.gz,0,start
8.0,DSP-1001660006002-A-G07_S79_L001_R2_001.fastq.gz,7339317,part 3
8.1,DSP-1001660006002-A-G07_S79_L001_R1_001.fastq.gz,6893638,part 3
8.2,DSP-1001660006002-A-G07_S79_L001_R1_001.fastq.gz,16777216,part 1
8.4,DSP-1001660006002-A-G07_S79_L001_R2_001.fastq.gz,16777216,part 2
8.5,DSP-1001660006002-A-G07_S79_L001_R1_001.fastq.gz,16777216,part 2
8.8,DSP-1001660006002-A-G07_S79_L001_R2_001.fastq.gz,16777216,part 1
