POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 1 G Average Quality,35.50
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 2 G Average Quality,35.38
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 3 G Average Quality,35.49
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 4 G Average Quality,35.68
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 5 G Average Quality,35.63
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 6 G Average Quality,35.67
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 7 G Average Quality,35.65
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 8 G Average Quality,35.76
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 9 G Average Quality,35.69
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 10 G Average Quality,35.69
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 11 G Average Quality,35.74
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 12 G Average Quality,35.80
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 13 G Average Quality,35.78
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 14 G Average Quality,35.78
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 15 G Average Quality,35.71
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 16 G Average Quality,35.71
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 17 G Average Quality,35.65
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 18 G Average Quality,35.61
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 19 G Average Quality,35.56
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 20 G Average Quality,35.54
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 21 G Average Quality,35.49
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 22 G Average Quality,35.64
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 23 G Average Quality,35.62
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 24 G Average Quality,35.65
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 25 G Average Quality,35.48
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 26 G Average Quality,35.64
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 1 T Average Quality,35.88
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 2 T Average Quality,35.78
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 3 T Average Quality,35.74
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 4 T Average Quality,35.78
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 5 T Average Quality,35.77
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 6 T Average Quality,35.73
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 7 T Average Quality,35.73
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 8 T Average Quality,35.77
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 9 T Average Quality,35.71
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 10 T Average Quality,35.69
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 11 T Average Quality,35.67
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 12 T Average Quality,35.74
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 13 T Average Quality,35.68
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 14 T Average Quality,35.65
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 15 T Average Quality,35.54
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 16 T Average Quality,35.62
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 17 T Average Quality,35.55
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 18 T Average Quality,35.47
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 19 T Average Quality,35.39
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 20 T Average Quality,35.42
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 21 T Average Quality,35.35
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 22 T Average Quality,35.45
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 23 T Average Quality,35.50
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 24 T Average Quality,35.51
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 25 T Average Quality,35.58
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 26 T Average Quality,35.61
POSITIONAL BASE CONTENT,Read1,ReadPos 1 A Bases,269305
POSITIONAL BASE CONTENT,Read1,ReadPos 2 A Bases,273025
POSITIONAL BASE CONTENT,Read1,ReadPos 3 A Bases,271862
POSITIONAL BASE CONTENT,Read1,ReadPos 4 A Bases,272383
POSITIONAL BASE CONTENT,Read1,ReadPos 5 A Bases,276403
POSITIONAL BASE CONTENT,Read1,ReadPos 6 A Bases,274557
POSITIONAL BASE CONTENT,Read1,ReadPos 7 A Bases,276425
POSITIONAL BASE CONTENT,Read1,ReadPos 8 A Bases,275003
POSITIONAL BASE CONTENT,Read1,ReadPos 9 A Bases,274751
POSITIONAL BASE CONTENT,Read1,ReadPos 10 A Bases,276414
POSITIONAL BASE CONTENT,Read1,ReadPos 11 A Bases,276732
POSITIONAL BASE CONTENT,Read1,ReadPos 12 A Bases,278009
POSITIONAL BASE CONTENT,Read1,ReadPos 13 A Bases,278590
POSITIONAL BASE CONTENT,Read1,ReadPos 14 A Bases,285552
POSITIONAL BASE CONTENT,Read1,ReadPos 15 A Bases,313320
POSITIONAL BASE CONTENT,Read1,ReadPos 16 A Bases,328962
POSITIONAL BASE CONTENT,Read1,ReadPos 17 A Bases,355049
POSITIONAL BASE CONTENT,Read1,ReadPos 18 A Bases,312044
POSITIONAL BASE CONTENT,Read1,ReadPos 19 A Bases,312840
POSITIONAL BASE CONTENT,Read1,ReadPos 20 A Bases,347214
POSITIONAL BASE CONTENT,Read1,ReadPos 21 A Bases,354654
POSITIONAL BASE CONTENT,Read1,ReadPos 22 A Bases,316373
POSITIONAL BASE CONTENT,Read1,ReadPos 23 A Bases,321875
POSITIONAL BASE CONTENT,Read1,ReadPos 24 A Bases,326489
POSITIONAL BASE CONTENT,Read1,ReadPos 25 A Bases,352657
POSITIONAL BASE CONTENT,Read1,ReadPos 26 A Bases,351681
POSITIONAL BASE CONTENT,Read1,ReadPos 1 C Bases,305315
POSITIONAL BASE CONTENT,Read1,ReadPos 2 C Bases,305375
POSITIONAL BASE CONTENT,Read1,ReadPos 3 C Bases,301782
POSITIONAL BASE CONTENT,Read1,ReadPos 4 C Bases,303543
POSITIONAL BASE CONTENT,Read1,ReadPos 5 C Bases,298148
POSITIONAL BASE CONTENT,Read1,ReadPos 6 C Bases,297502
POSITIONAL BASE CONTENT,Read1,ReadPos 7 C Bases,299259
POSITIONAL BASE CONTENT,Read1,ReadPos 8 C Bases,299188
POSITIONAL BASE CONTENT,Read1,ReadPos 9 C Bases,297998
POSITIONAL BASE CONTENT,Read1,ReadPos 10 C Bases,297023
POSITIONAL BASE CONTENT,Read1,ReadPos 11 C Bases,295531
POSITIONAL BASE CONTENT,Read1,ReadPos 12 C Bases,291797
POSITIONAL BASE CONTENT,Read1,ReadPos 13 C Bases,285493
POSITIONAL BASE CONTENT,Read1,ReadPos 14 C Bases,285547
POSITIONAL BASE CONTENT,Read1,ReadPos 15 C Bases,333211
POSITIONAL BASE CONTENT,Read1,ReadPos 16 C Bases,331331
POSITIONAL BASE CONTENT,Read1,ReadPos 17 C Bases,308769
POSITIONAL BASE CONTENT,Read1,ReadPos 18 C Bases,326008
POSITIONAL BASE CONTENT,Read1,ReadPos 19 C Bases,315173
POSITIONAL BASE CONTENT,Read1,ReadPos 20 C Bases,326329
POSITIONAL BASE CONTENT,Read1,ReadPos 21 C Bases,309401
POSITIONAL BASE CONTENT,Read1,ReadPos 22 C Bases,310363
POSITIONAL BASE CONTENT,Read1,ReadPos 23 C Bases,337099
POSITIONAL BASE CONTENT,Read1,ReadPos 24 C Bases,331660
POSITIONAL BASE CONTENT,Read1,ReadPos 25 C Bases,303838
POSITIONAL BASE CONTENT,Read1,ReadPos 26 C Bases,279437
POSITIONAL BASE CONTENT,Read1,ReadPos 1 G Bases,363680
POSITIONAL BASE CONTENT,Read1,ReadPos 2 G Bases,362009
POSITIONAL BASE CONTENT,Read1,ReadPos 3 G Bases,364791
POSITIONAL BASE CONTENT,Read1,ReadPos 4 G Bases,362833
POSITIONAL BASE CONTENT,Read1,ReadPos 5 G Bases,364061
POSITIONAL BASE CONTENT,Read1,ReadPos 6 G Bases,363673
POSITIONAL BASE CONTENT,Read1,ReadPos 7 G Bases,363042
POSITIONAL BASE CONTENT,Read1,ReadPos 8 G Bases,363200
POSITIONAL BASE CONTENT,Read1,ReadPos 9 G Bases,365058
POSITIONAL BASE CONTENT,Read1,ReadPos 10 G Bases,365587
POSITIONAL BASE CONTENT,Read1,ReadPos 11 G Bases,365823
POSITIONAL BASE CONTENT,Read1,ReadPos 12 G Bases,367649
POSITIONAL BASE CONTENT,Read1,ReadPos 13 G Bases,373389
POSITIONAL BASE CONTENT,Read1,ReadPos 14 G Bases,370174
POSITIONAL BASE CONTENT,Read1,ReadPos 15 G Bases,300038
POSITIONAL BASE CONTENT,Read1,ReadPos 16 G Bases,296909
POSITIONAL BASE CONTENT,Read1,ReadPos 17 G Bases,307456
POSITIONAL BASE CONTENT,Read1,ReadPos 18 G Bases,315186
POSITIONAL BASE CONTENT,Read1,ReadPos 19 G Bases,335187
POSITIONAL BASE CONTENT,Read1,ReadPos 20 G Bases,305937
POSITIONAL BASE CONTENT,Read1,ReadPos 21 G Bases,299377
POSITIONAL BASE CONTENT,Read1,ReadPos 22 G Bases,304922
POSITIONAL BASE CONTENT,Read1,ReadPos 23 G Bases,319534
POSITIONAL BASE CONTENT,Read1,ReadPos 24 G Bases,316142
POSITIONAL BASE CONTENT,Read1,ReadPos 25 G Bases,286314
POSITIONAL BASE CONTENT,Read1,ReadPos 26 G Bases,275991
POSITIONAL BASE CONTENT,Read1,ReadPos 1 T Bases,359300
POSITIONAL BASE CONTENT,Read1,ReadPos 2 T Bases,357178
POSITIONAL BASE CONTENT,Read1,ReadPos 3 T Bases,358709
POSITIONAL BASE CONTENT,Read1,ReadPos 4 T Bases,358821
POSITIONAL BASE CONTENT,Read1,ReadPos 5 T Bases,358984
POSITIONAL BASE CONTENT,Read1,ReadPos 6 T Bases,361821
POSITIONAL BASE CONTENT,Read1,ReadPos 7 T Bases,358814
POSITIONAL BASE CONTENT,Read1,ReadPos 8 T Bases,360144
POSITIONAL BASE CONTENT,Read1,ReadPos 9 T Bases,359714
POSITIONAL BASE CONTENT,Read1,ReadPos 10 T Bases,358479
POSITIONAL BASE CONTENT,Read1,ReadPos 11 T Bases,359427
POSITIONAL BASE CONTENT,Read1,ReadPos 12 T Bases,359895
POSITIONAL BASE CONTENT,Read1,ReadPos 13 T Bases,360002
POSITIONAL BASE CONTENT,Read1,ReadPos 14 T Bases,356170
POSITIONAL BASE CONTENT,Read1,ReadPos 15 T Bases,350859
POSITIONAL BASE CONTENT,Read1,ReadPos 16 T Bases,340189
POSITIONAL BASE CONTENT,Read1,ReadPos 17 T Bases,326073
POSITIONAL BASE CONTENT,Read1,ReadPos 18 T Bases,343812
POSITIONAL BASE CONTENT,Read1,ReadPos 19 T Bases,333763
POSITIONAL BASE CONTENT,Read1,ReadPos 20 T Bases,317214
POSITIONAL BASE CONTENT,Read1,ReadPos 21 T Bases,333095
POSITIONAL BASE CONTENT,Read1,ReadPos 22 T Bases,364656
POSITIONAL BASE CONTENT,Read1,ReadPos 23 T Bases,317220
POSITIONAL BASE CONTENT,Read1,ReadPos 24 T Bases,319307
POSITIONAL BASE CONTENT,Read1,ReadPos 25 T Bases,339582
POSITIONAL BASE CONTENT,Read1,ReadPos 26 T Bases,287285
POSITIONAL BASE CONTENT,Read1,ReadPos 1 N Bases,2
POSITIONAL BASE CONTENT,Read1,ReadPos 2 N Bases,15
POSITIONAL BASE CONTENT,Read1,ReadPos 3 N Bases,456
POSITIONAL BASE CONTENT,Read1,ReadPos 4 N Bases,17
POSITIONAL BASE CONTENT,Read1,ReadPos 5 N Bases,0
POSITIONAL BASE CONTENT,Read1,ReadPos 6 N Bases,0
POSITIONAL BASE CONTENT,Read1,ReadPos 7 N Bases,0
POSITIONAL BASE CONTENT,Read1,ReadPos 8 N Bases,0
POSITIONAL BASE CONTENT,Read1,ReadPos 9 N Bases,0
POSITIONAL BASE CONTENT,Read1,ReadPos 10 N Bases,16
POSITIONAL BASE CONTENT,Read1,ReadPos 11 N Bases,0
POSITIONAL BASE CONTENT,Read1,ReadPos 12 N Bases,142
POSITIONAL BASE CONTENT,Read1,ReadPos 13 N Bases,0
POSITIONAL BASE CONTENT,Read1,ReadPos 14 N Bases,14
POSITIONAL BASE CONTENT,Read1,ReadPos 15 N Bases,0
POSITIONAL BASE CONTENT,Read1,ReadPos 16 N Bases,0
POSITIONAL BASE CONTENT,Read1,ReadPos 17 N Bases,0
POSITIONAL BASE CONTENT,Read1,ReadPos 18 N Bases,0
POSITIONAL BASE CONTENT,Read1,ReadPos 19 N Bases,0
POSITIONAL BASE CONTENT,Read1,ReadPos 20 N Bases,0
POSITIONAL BASE CONTENT,Read1,ReadPos 21 N Bases,0
POSITIONAL BASE CONTENT,Read1,ReadPos 22 N Bases,0
POSITIONAL BASE CONTENT,Read1,ReadPos 23 N Bases,0
POSITIONAL BASE CONTENT,Read1,ReadPos 24 N Bases,0
POSITIONAL BASE CONTENT,Read1,ReadPos 25 N Bases,0
POSITIONAL BASE CONTENT,Read1,ReadPos 26 N Bases,0
READ LENGTHS,Read1,2bp Length Reads,2
READ LENGTHS,Read1,3bp Length Reads,3
READ LENGTHS,Read1,4bp Length Reads,1
READ LENGTHS,Read1,5bp Length Reads,43
READ LENGTHS,Read1,6bp Length Reads,13
READ LENGTHS,Read1,7bp Length Reads,5
READ LENGTHS,Read1,8bp Length Reads,14
READ LENGTHS,Read1,9bp Length Reads,2
READ LENGTHS,Read1,10bp Length Reads,6
READ LENGTHS,Read1,11bp Length Reads,21
READ LENGTHS,Read1,12bp Length Reads,18
READ LENGTHS,Read1,13bp Length Reads,17
READ LENGTHS,Read1,14bp Length Reads,29
READ LENGTHS,Read1,15bp Length Reads,37
READ LENGTHS,Read1,16bp Length Reads,44
READ LENGTHS,Read1,17bp Length Reads,297
READ LENGTHS,Read1,18bp Length Reads,87
READ LENGTHS,Read1,19bp Length Reads,269
READ LENGTHS,Read1,20bp Length Reads,167
READ LENGTHS,Read1,21bp Length Reads,213
READ LENGTHS,Read1,22bp Length Reads,586
READ LENGTHS,Read1,23bp Length Reads,2130
READ LENGTHS,Read1,24bp Length Reads,11207
READ LENGTHS,Read1,25bp Length Reads,87997
READ LENGTHS,Read1,26bp Length Reads,1194399
READ GC CONTENT,Read1,0% GC Reads,17040
READ GC CONTENT,Read1,1% GC Reads,17040
READ GC CONTENT,Read1,2% GC Reads,25560
READ GC CONTENT,Read1,3% GC Reads,34080
READ GC CONTENT,Read1,4% GC Reads,34080
READ GC CONTENT,Read1,5% GC Reads,34080
READ GC CONTENT,Read1,6% GC Reads,93392
READ GC CONTENT,Read1,7% GC Reads,152704
READ GC CONTENT,Read1,8% GC Reads,170398
READ GC CONTENT,Read1,9% GC Reads,188092
READ GC CONTENT,Read1,10% GC Reads,609824
READ GC CONTENT,Read1,11% GC Reads,1031556
READ GC CONTENT,Read1,12% GC Reads,1031556
READ GC CONTENT,Read1,13% GC Reads,2377716
READ GC CONTENT,Read1,14% GC Reads,3930970
READ GC CONTENT,Read1,15% GC Reads,4166577
READ GC CONTENT,Read1,16% GC Reads,4195090
READ GC CONTENT,Read1,17% GC Reads,12648894
READ GC CONTENT,Read1,18% GC Reads,21780670
READ GC CONTENT,Read1,19% GC Reads,22652616
READ GC CONTENT,Read1,20% GC Reads,23068112
READ GC CONTENT,Read1,21% GC Reads,46077354
READ GC CONTENT,Read1,22% GC Reads,71897754
READ GC CONTENT,Read1,23% GC Reads,75462559
READ GC CONTENT,Read1,24% GC Reads,76047116
READ GC CONTENT,Read1,25% GC Reads,142985471
READ GC CONTENT,Read1,26% GC Reads,216848032
READ GC CONTENT,Read1,27% GC Reads,225189726
READ GC CONTENT,Read1,28% GC Reads,227230819
READ GC CONTENT,Read1,29% GC Reads,370125964
READ GC CONTENT,Read1,30% GC Reads,525580076
READ GC CONTENT,Read1,31% GC Reads,540923930
READ GC CONTENT,Read1,32% GC Reads,543262825
READ GC CONTENT,Read1,33% GC Reads,781435827
READ GC CONTENT,Read1,34% GC Reads,1042579191
READ GC CONTENT,Read1,35% GC Reads,1068566717
READ GC CONTENT,Read1,36% GC Reads,1071688724
READ GC CONTENT,Read1,37% GC Reads,1409329431
READ GC CONTENT,Read1,38% GC Reads,1773823872
READ GC CONTENT,Read1,39% GC Reads,1801047865
READ GC CONTENT,Read1,40% GC Reads,2165841912
READ GC CONTENT,Read1,41% GC Reads,2530585831
READ GC CONTENT,Read1,42% GC Reads,2555680564
READ GC CONTENT,Read1,43% GC Reads,2580731373
READ GC CONTENT,Read1,44% GC Reads,2878728353
READ GC CONTENT,Read1,45% GC Reads,3176455982
READ GC CONTENT,Read1,46% GC Reads,3190816576
READ GC CONTENT,Read1,47% GC Reads,3205402284
READ GC CONTENT,Read1,48% GC Reads,3327602587
READ GC CONTENT,Read1,49% GC Reads,3449693448
READ GC CONTENT,Read1,50% GC Reads,3448156177
READ GC CONTENT,Read1,51% GC Reads,3446618906
READ GC CONTENT,Read1,52% GC Reads,3310567009
READ GC CONTENT,Read1,53% GC Reads,3174391910
READ GC CONTENT,Read1,54% GC Reads,3156678196
READ GC CONTENT,Read1,55% GC Reads,3140168393
READ GC CONTENT,Read1,56% GC Reads,2847196233
READ GC CONTENT,Read1,57% GC Reads,2553190552
READ GC CONTENT,Read1,58% GC Reads,2527589900
READ GC CONTENT,Read1,59% GC Reads,2501132983
READ GC CONTENT,Read1,60% GC Reads,2131783565
READ GC CONTENT,Read1,61% GC Reads,1761891524
READ GC CONTENT,Read1,62% GC Reads,1735144299
READ GC CONTENT,Read1,63% GC Reads,1369287927
READ GC CONTENT,Read1,64% GC Reads,1029094824
READ GC CONTENT,Read1,65% GC Reads,1026507241
READ GC CONTENT,Read1,66% GC Reads,1002149573
READ GC CONTENT,Read1,67% GC Reads,745226839
READ GC CONTENT,Read1,68% GC Reads,510081382
READ GC CONTENT,Read1,69% GC Reads,508215644
READ GC CONTENT,Read1,70% GC Reads,492818377
READ GC CONTENT,Read1,71% GC Reads,338027868
READ GC CONTENT,Read1,72% GC Reads,196684998
READ GC CONTENT,Read1,73% GC Reads,195710182
READ GC CONTENT,Read1,74% GC Reads,190174064
READ GC CONTENT,Read1,75% GC Reads,125507114
READ GC CONTENT,Read1,76% GC Reads,65407366
READ GC CONTENT,Read1,77% GC Reads,65003346
READ GC CONTENT,Read1,78% GC Reads,61737043
READ GC CONTENT,Read1,79% GC Reads,37530850
READ GC CONTENT,Read1,80% GC Reads,16173176
READ GC CONTENT,Read1,81% GC Reads,15980830
READ GC CONTENT,Read1,82% GC Reads,15273702
READ GC CONTENT,Read1,83% GC Reads,8429871
READ GC CONTENT,Read1,84% GC Reads,2183073
READ GC CONTENT,Read1,85% GC Reads,2168000
READ GC CONTENT,Read1,86% GC Reads,2046432
