time(s),filename,numbytes,info
6.9,DSP-1001660006002-A-E07_S55_L001_R1_001.fastq.gz,0,start
7.0,DSP-1001660006002-A-E07_S55_L001_R2_001.fastq.gz,0,start
7.2,DSP-1001660006002-A-E07_S55_L001_R1_001.fastq.gz,2257695,part 2
7.3,DSP-1001660006002-A-E07_S55_L001_R2_001.fastq.gz,2630542,part 2
7.4,DSP-1001660006002-A-E07_S55_L001_R1_001.fastq.gz,16777216,part 1
7.6,DSP-1001660006002-A-E07_S55_L001_R2_001.fastq.gz,16777216,part 1
