time(s),filename,numbytes,info
7.1,DSP-1001660006002-A-G04_S76_L001_R1_001.fastq.gz,0,start
7.2,DSP-1001660006002-A-G04_S76_L001_R2_001.fastq.gz,0,start
7.5,DSP-1001660006002-A-G04_S76_L001_R1_001.fastq.gz,7329545,part 3
7.6,DSP-1001660006002-A-G04_S76_L001_R2_001.fastq.gz,7606157,part 3
7.6,DSP-1001660006002-A-G04_S76_L001_R1_001.fastq.gz,16777216,part 2
7.7,DSP-1001660006002-A-G04_S76_L001_R2_001.fastq.gz,16777216,part 1
7.7,DSP-1001660006002-A-G04_S76_L001_R1_001.fastq.gz,16777216,part 1
7.8,DSP-1001660006002-A-G04_S76_L001_R2_001.fastq.gz,16777216,part 2
