time(s),filename,numbytes,info
7.0,DSP-1001660006002-A-D09_S45_L001_R1_001.fastq.gz,0,start
7.1,DSP-1001660006002-A-D09_S45_L001_R2_001.fastq.gz,0,start
7.5,DSP-1001660006002-A-D09_S45_L001_R1_001.fastq.gz,11568396,part 3
7.5,DSP-1001660006002-A-D09_S45_L001_R1_001.fastq.gz,16777216,part 2
7.6,DSP-1001660006002-A-D09_S45_L001_R1_001.fastq.gz,16777216,part 1
7.6,DSP-1001660006002-A-D09_S45_L001_R2_001.fastq.gz,16777216,part 2
7.7,DSP-1001660006002-A-D09_S45_L001_R2_001.fastq.gz,16777216,part 1
7.7,DSP-1001660006002-A-D09_S45_L001_R2_001.fastq.gz,11652777,part 3
