time(s),filename,numbytes,info
7.0,DSP-1001660006002-A-A08_S8_L001_R1_001.fastq.gz,0,start
7.2,DSP-1001660006002-A-A08_S8_L001_R2_001.fastq.gz,0,start
7.4,DSP-1001660006002-A-A08_S8_L001_R1_001.fastq.gz,11042301,part 3
7.4,DSP-1001660006002-A-A08_S8_L001_R1_001.fastq.gz,16777216,part 1
7.5,DSP-1001660006002-A-A08_S8_L001_R1_001.fastq.gz,16777216,part 2
7.8,DSP-1001660006002-A-A08_S8_L001_R2_001.fastq.gz,16777216,part 1
7.9,DSP-1001660006002-A-A08_S8_L001_R2_001.fastq.gz,11753387,part 3
7.9,DSP-1001660006002-A-A08_S8_L001_R2_001.fastq.gz,16777216,part 2
