time(s),filename,numbytes,info
7.2,DSP-1001660006002-A-A10_S10_L001_R1_001.fastq.gz,0,start
7.2,DSP-1001660006002-A-A10_S10_L001_R2_001.fastq.gz,0,start
7.6,DSP-1001660006002-A-A10_S10_L001_R1_001.fastq.gz,16777216,part 1
7.7,DSP-1001660006002-A-A10_S10_L001_R1_001.fastq.gz,16777216,part 2
7.8,DSP-1001660006002-A-A10_S10_L001_R2_001.fastq.gz,16777216,part 1
7.8,DSP-1001660006002-A-A10_S10_L001_R2_001.fastq.gz,16043758,part 3
7.9,DSP-1001660006002-A-A10_S10_L001_R2_001.fastq.gz,16777216,part 2
8.0,DSP-1001660006002-A-A10_S10_L001_R1_001.fastq.gz,15563379,part 3
