time(s),filename,numbytes,info
7.1,DSP-1001660006002-A-E03_S51_L001_R1_001.fastq.gz,0,start
7.2,DSP-1001660006002-A-E03_S51_L001_R1_001.fastq.gz,2172014,part 4
7.2,DSP-1001660006002-A-E03_S51_L001_R2_001.fastq.gz,0,start
7.5,DSP-1001660006002-A-E03_S51_L001_R2_001.fastq.gz,2896902,part 4
7.7,DSP-1001660006002-A-E03_S51_L001_R1_001.fastq.gz,16777216,part 2
7.7,DSP-1001660006002-A-E03_S51_L001_R2_001.fastq.gz,16777216,part 1
7.7,DSP-1001660006002-A-E03_S51_L001_R2_001.fastq.gz,16777216,part 2
7.8,DSP-1001660006002-A-E03_S51_L001_R1_001.fastq.gz,16777216,part 1
8.0,DSP-1001660006002-A-E03_S51_L001_R1_001.fastq.gz,16777216,part 3
8.1,DSP-1001660006002-A-E03_S51_L001_R2_001.fastq.gz,16777216,part 3
