time(s),filename,numbytes,info
7.0,DSP-1001660006002-A-D06_S42_L001_R1_001.fastq.gz,0,start
7.1,DSP-1001660006002-A-D06_S42_L001_R2_001.fastq.gz,0,start
7.4,DSP-1001660006002-A-D06_S42_L001_R2_001.fastq.gz,16777216,part 4
7.6,DSP-1001660006002-A-D06_S42_L001_R2_001.fastq.gz,16777216,part 3
7.6,DSP-1001660006002-A-D06_S42_L001_R2_001.fastq.gz,16777216,part 2
7.6,DSP-1001660006002-A-D06_S42_L001_R1_001.fastq.gz,16777216,part 1
7.6,DSP-1001660006002-A-D06_S42_L001_R2_001.fastq.gz,16777216,part 1
7.7,DSP-1001660006002-A-D06_S42_L001_R1_001.fastq.gz,16777216,part 3
7.7,DSP-1001660006002-A-D06_S42_L001_R1_001.fastq.gz,16777216,part 2
7.7,DSP-1001660006002-A-D06_S42_L001_R1_001.fastq.gz,16777216,part 4
7.9,DSP-1001660006002-A-D06_S42_L001_R2_001.fastq.gz,16777216,part 5
8.2,DSP-1001660006002-A-D06_S42_L001_R1_001.fastq.gz,12165180,part 6
8.6,DSP-1001660006002-A-D06_S42_L001_R2_001.fastq.gz,12693033,part 6
8.7,DSP-1001660006002-A-D06_S42_L001_R1_001.fastq.gz,16777216,part 5
