TRIMMER STATISTICS,,Total input reads,2307374
TRIMMER STATISTICS,,Total input bases,94602334
TRIMMER STATISTICS,,Total input bases R1,47301167
TRIMMER STATISTICS,,Total input bases R2,47301167
TRIMMER STATISTICS,,Average input read length,41
TRIMMER STATISTICS,,Total trimmed reads,2307374,100.00
TRIMMER STATISTICS,,Total trimmed bases,34882894,36.87
TRIMMER STATISTICS,,Average bases trimmed per read,15
TRIMMER STATISTICS,,Average bases trimmed per trimmed read,15
TRIMMER STATISTICS,,Remaining poly-G K-mers R1 3prime,1,0.00
TRIMMER STATISTICS,,Remaining poly-G K-mers R2 3prime,235,0.02
TRIMMER STATISTICS,,Poly-G soft trimmed reads unfiltered R1 3prime,7,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed reads unfiltered R2 3prime,992,0.09
TRIMMER STATISTICS,,Poly-G soft trimmed reads filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed reads filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed bases unfiltered R1 3prime,70,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed bases unfiltered R2 3prime,14875,0.03
TRIMMER STATISTICS,,Poly-G soft trimmed bases filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed bases filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Quality trimmed reads unfiltered R1 3prime,30312,2.63
TRIMMER STATISTICS,,Quality trimmed reads unfiltered R2 3prime,58505,5.07
TRIMMER STATISTICS,,Quality trimmed reads filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Quality trimmed reads filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Quality trimmed bases unfiltered R1 3prime,71276,0.15
TRIMMER STATISTICS,,Quality trimmed bases unfiltered R2 3prime,143996,0.30
TRIMMER STATISTICS,,Quality trimmed bases filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Quality trimmed bases filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Adapter trimmed reads unfiltered R1 3prime,1140051,98.82
TRIMMER STATISTICS,,Adapter trimmed reads unfiltered R2 3prime,1139700,98.79
TRIMMER STATISTICS,,Adapter trimmed reads filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Adapter trimmed reads filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Adapter trimmed bases unfiltered R1 3prime,17177963,36.32
TRIMMER STATISTICS,,Adapter trimmed bases unfiltered R2 3prime,17141854,36.24
TRIMMER STATISTICS,,Adapter trimmed bases filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Adapter trimmed bases filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Cut-End trimmed reads unfiltered R1 3prime,19955,1.73
TRIMMER STATISTICS,,Cut-End trimmed reads unfiltered R2 3prime,18965,1.64
TRIMMER STATISTICS,,Cut-End trimmed reads filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Cut-End trimmed reads filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Cut-End trimmed bases unfiltered R1 3prime,183231,0.39
TRIMMER STATISTICS,,Cut-End trimmed bases unfiltered R2 3prime,164574,0.35
TRIMMER STATISTICS,,Cut-End trimmed bases filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Cut-End trimmed bases filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Total filtered reads,0,0.00
TRIMMER STATISTICS,,Reads filtered for minimum read length R1,0,0.00
TRIMMER STATISTICS,,Reads filtered for minimum read length R2,0,0.00
